BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,Fit15,FitTot
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.92501704216,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.92501704216,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSHP,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1000.9003180033134,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13007
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.07498295783985795,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,LESSPERCHP,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.07498295783985795,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0996819966865,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSEST,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.92501704216,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.1072826298199058,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.92501704216,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,WAIT,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.07498295783985795,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.07498295783985795,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSHP,CLOSBUIL,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.1072826298199058,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.14236528254640288,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0996819966865,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.07498295783985795,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSHP,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1000.9326176752934,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.8576347174535,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1000.9326176752934,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,LESSPERCHP,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.1746649545264507,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,LESSPERCHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,KITE,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,CLOSEST,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1000.9677003280199,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,WAIT,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,1001.0322996719799,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,13008
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,CLOSEST,CLOSBUIL,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,0.07498295783985795,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,12007
ONEWORKER,LIGHT,HARVESTER,LESSPERCHP,WAIT,LESSHP,1000.9999999999999,1000.9999999999999,1000.9999999999999,1000.9999999999999,2001.95731671414,2001.95731671414,0.042683285859810106,0.042683285859810106,2001.95731671414,2001.95731671414,2001.95731671414,0.042683285859810106,0.016187588965882405,0.016187588965882405,0.016187588965882405,14008
