BaseBeh,BarBeh,WorkBeh,LightBeh,HeavyBeh,RangedBeh,Fit01,Fit02,Fit03,Fit04,Fit05,Fit06,Fit07,Fit08,Fit09,Fit10,Fit11,Fit12,Fit13,Fit14,FitTot
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,CLOSEST,100.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,53.0,100.0,100.0,647
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSHP,CLOSESTDIRECT,100.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,55.0,100.0,100.0,649
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,LESSHP,100.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,56.0,100.0,100.0,653
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,LESSPERCHP,100.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,55.0,100.0,100.0,652
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,CLOSEST,100.0,100.0,3.0,100.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,65.0,100.0,100.0,662
ONEWORKER,LIGHT,HARVESTER,CLOSEST,LESSPERCHP,CLOSESTDIRECT,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,60.0,100.0,100.0,655
ONEWORKER,LIGHT,HARVESTER,CLOSEST,CLOSEST,LESSHP,100.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,59.0,100.0,100.0,660
ONEWORKER,LIGHT,HARVESTER,CLOSEST,CLOSEST,LESSPERCHP,100.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,68.0,100.0,100.0,663
ONEWORKER,LIGHT,HARVESTER,CLOSEST,CLOSEST,CLOSEST,100.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,57.0,100.0,100.0,652
ONEWORKER,LIGHT,HARVESTER,CLOSEST,CLOSEST,CLOSESTDIRECT,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,51.0,100.0,100.0,646
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSHP,LESSHP,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,117
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSHP,LESSPERCHP,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,117
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSHP,CLOSEST,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSHP,CLOSESTDIRECT,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,120
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSPERCHP,LESSHP,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,117
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSPERCHP,LESSPERCHP,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,110
ONEWORKER,LIGHT,AGGRESSIVE,LESSHP,LESSPERCHP,CLOSEST,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,118
